time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-03-30T18:42:24.339Z,62.2891,-149.1769,8.9,1.6,ml,,,,0.57,ak,ak024455c3a9,2024-03-30T18:44:26.759Z,"37 km ENE of Susitna North, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-03-30T18:32:48.340Z,33.5868333,-116.8035,7.77,0.37,ml,19,75,0.03359,0.09,ci,ci40702448,2024-03-30T18:39:32.953Z,"12 km WNW of Anza, CA",earthquake,0.19,0.47,0.052,5,automatic,ci,ci
2024-03-30T18:22:38.291Z,61.5466,-149.8092,33.6,1.9,ml,,,,0.38,ak,ak0244557u1h,2024-03-30T18:25:18.231Z,"8 km ENE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-03-30T18:08:47.650Z,33.937,-116.7041667,15.88,1.37,ml,55,52,0.1115,0.14,ci,ci40702440,2024-03-30T18:19:36.650Z,"8 km ENE of Cabazon, CA",earthquake,0.13,0.37,0.144,28,automatic,ci,ci
2024-03-30T17:44:55.330Z,36.0333333,-117.7798333,2,0.92,ml,18,92,0.01433,0.17,ci,ci40702432,2024-03-30T17:50:51.898Z,"15 km E of Coso Junction, CA",earthquake,0.22,0.21,0.167,11,automatic,ci,ci
2024-03-30T17:37:22.110Z,38.7924995,-122.757164,-0.44,1,md,10,154,0.008354,0.02,nc,nc74026491,2024-03-30T17:38:55.441Z,"2 km N of The Geysers, CA",earthquake,0.27,1.3,0.21,11,automatic,nc,nc
2024-03-30T17:36:29.062Z,62.159,-151.3646,12.7,1.7,ml,,,,0.4,ak,ak024454pdqy,2024-03-30T17:38:34.792Z,"18 km N of Skwentna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-03-30T17:35:49.513Z,-19.7059,-175.8649,8.844,5.1,mb,139,51,1.583,0.74,us,us7000m8z0,2024-03-30T18:12:27.040Z,"158 km W of Pangai, Tonga",earthquake,6.95,3.869,0.049,142,reviewed,us,us
2024-03-30T17:28:29.120Z,33.3816667,-116.293,11.78,1.9,ml,80,28,0.02373,0.2,ci,ci40702424,2024-03-30T17:39:11.280Z,"16 km NNE of Borrego Springs, CA",earthquake,0.15,0.46,0.175,28,automatic,ci,ci
2024-03-30T17:14:10.646Z,64.9686,-147.3966,2.6,1.6,ml,,,,0.53,ak,ak024454kmko,2024-03-30T17:16:06.820Z,"10 km E of Fox, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-03-30T17:09:38.843Z,62.1675,-149.8488,26.7,1.5,ml,,,,0.89,ak,ak024454jm64,2024-03-30T17:11:59.415Z,"0 km N of Susitna North, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-03-30T16:44:25.250Z,-19.7514,-175.9445,11.27,5.3,mww,71,69,1.573,1.01,us,us7000m8yl,2024-03-30T17:03:36.040Z,"166 km W of Pangai, Tonga",earthquake,8.84,4.263,0.073,18,reviewed,us,us
2024-03-30T16:28:57.934Z,52.1029,178.3725,116.497,5.8,mww,245,30,0.16,0.97,us,us7000m8yd,2024-03-30T18:39:10.443Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,4.99,2.915,0.035,77,reviewed,us,us
2024-03-30T16:27:48.220Z,19.32900047,-155.1228333,2.890000105,2.76,ml,53,120,0.04332,0.219999999,hv,hv74154932,2024-03-30T17:31:05.040Z,"15 km S of Fern Forest, Hawaii",earthquake,0.34,0.639999986,0.32,40,automatic,hv,hv
2024-03-30T16:10:52.290Z,38.8134995,-122.8183365,2.62,1.09,md,24,52,0.00965,0.02,nc,nc74026471,2024-03-30T16:12:29.497Z,"7 km NW of The Geysers, CA",earthquake,0.21,0.45,0.16,24,automatic,nc,nc
2024-03-30T15:57:24.230Z,33.389,-115.7815,2.22,1.61,ml,45,43,0.04974,0.21,ci,ci40702408,2024-03-30T16:03:54.529Z,"6 km NW of Bombay Beach, CA",earthquake,0.2,0.43,0.12,27,automatic,ci,ci
2024-03-30T15:49:47.719Z,63.2639,-151.7432,7.7,1.8,ml,,,,0.51,ak,ak024453lcab,2024-03-30T15:51:49.660Z,"30 km S of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-03-30T15:45:04.367Z,65.8803,-146.3664,4.3,1.9,ml,,,,1.03,ak,ak024453ke2s,2024-03-30T15:47:39.824Z,"48 km SSW of Birch Creek, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-03-30T15:42:18.750Z,36.6385002,-121.3006668,4.58,1.67,md,10,142,0.02979,0.18,nc,nc74026461,2024-03-30T15:43:54.212Z,"17 km S of Tres Pinos, CA",earthquake,0.75,2.39,0.16,8,automatic,nc,nc
2024-03-30T15:37:32.050Z,38.0353317,-118.7561646,-1.41,2.02,md,17,109,0.2765,0.09,nc,nc74026456,2024-03-30T15:39:10.188Z,"30 km SE of Bodie, CA",earthquake,0.43,7.83,0.24,14,automatic,nc,nc
2024-03-30T15:36:50.180Z,38.831665,-122.8170013,1.69,1.1,md,22,51,0.009873,0.01,nc,nc74026451,2024-03-30T15:38:25.188Z,"8 km NW of The Geysers, CA",earthquake,0.21,0.37,0.23,25,automatic,nc,nc
2024-03-30T15:32:04.490Z,19.25333405,-155.4259949,34.04000092,2.11999989,md,48,117,0.06913,0.140000001,hv,hv74154907,2024-03-30T15:33:53.690Z,"7 km NE of Pāhala, Hawaii",earthquake,0.42,0.639999986,0.109999999,11,automatic,hv,hv
2024-03-30T15:26:51.770Z,36.6404991,-121.2813339,6.34,2.63,md,52,85,0.03992,0.22,nc,nc74026446,2024-03-30T16:33:36.040Z,"17 km SSE of Tres Pinos, CA",earthquake,0.32,0.72,0.15,53,automatic,nc,nc
